article_no,selling_price,inventory_quantity,w4,w3,w2,w1,_4_weeks_sales,MOI,country,quantity_in_stock
10887,12.99,7,0,0,0,0,0,99998,AU,2229
10917,59.99,1,0,1,0,0,1,3,AU,16
11033,29.99,16,2,1,2,0,5,3.2,AU,345
10960,29.99,16,1,0,1,0,2,8,AU,29
11252,49.99,13,0,0,0,0,0,99998,AU,8
11005,59.99,13,0,0,0,0,0,99998,AU,449
11417,69.99,0,0,0,0,0,0,0,AU,454
11048,59.99,3,1,0,0,1,2,1.5,AU,10
11341,79.99,0,0,0,0,0,0,0,AU,71
10532,59.99,5,1,1,1,0,3,1.67,AU,14
10844,24.99,11,3,3,2,7,15,0.73,AU,3935
11168,24.99,38,17,8,4,7,36,1.06,AU,1576
10914,27.99,19,0,0,1,0,1,19,AU,3831
11167,29.99,231,30,13,24,13,80,3.06,AU,3319
11411,34.99,10,0,1,3,0,4,2.5,AU,1248
11091,19.99,19,1,0,0,0,1,19,AU,1633
11251,17.99,33,3,4,0,0,7,4.71,AU,298
11284,29.99,21,2,0,0,1,3,7,AU,9
11402,19.99,60,3,2,0,1,6,10.17,AU,3236
18010,14.99,12,1,0,0,0,1,12,AU,
11516,24.99,24,0,4,2,0,6,4,AU,789
11517,29.99,68,5,9,7,6,27,2.52,AU,524
11521,24.99,0,1,4,3,0,8,0.25,AU,11
11522,29.99,114,5,4,5,8,22,5.18,AU,81
11534,27.99,0,1,1,1,3,6,0,AU,0
11533,34.99,7,1,0,0,0,1,7,AU,1148
11562,29.99,27,0,0,0,0,0,99998,AU,28
11567,39.99,5,1,0,2,0,3,1.67,AU,542
11568,44.99,13,2,1,3,0,6,2.17,AU,1817
10840,39.99,15,0,0,0,0,0,99998,AU,404
10793,34.99,2,0,0,0,0,0,99998,AU,0
11525,79.99,32,3,1,2,0,6,5.33,AU,776
11528,74.99,4,1,0,0,0,1,4,AU,10
11267,34.99,19,3,0,2,3,8,2.38,AU,32
11261,34.99,5,1,2,0,0,3,2,AU,10
11566,34.99,256,14,10,9,5,38,6.76,AU,257
11572,39.99,20,5,3,3,1,12,1.67,AU,5
11605,39.99,9,3,2,0,3,8,1.25,AU,484
11635,29.99,9,3,0,2,0,5,1.8,AU,2811
11538,19.99,15,0,0,0,0,0,99998,AU,809
11626,39.99,0,0,0,0,0,0,0,AU,1182
11019,49.99,4,0,0,0,0,0,99998,AU,1112
11354,99.99,5,0,1,2,0,3,1.67,AU,2953
11615,99.99,7,0,0,1,0,1,7,AU,161
11648,69.99,13,1,1,0,0,2,6.5,AU,215
11633,94.99,0,0,0,0,0,0,0,AU,115
11444,16.99,10,0,0,0,2,2,5,AU,462
11574,21.99,14,1,0,1,2,4,3.5,AU,325
11663,69.99,6,0,0,0,0,0,99998,AU,320
11670,29.99,8,0,3,0,0,3,2.67,AU,363
11665,32.99,17,1,0,1,0,2,8.5,AU,1341
11673,59.99,60,8,10,8,1,27,2.22,AU,1254
11447,44.99,10,5,4,2,0,11,0.91,AU,449
11449,49.99,6,0,1,1,3,5,1.2,AU,564
11573,54.99,6,0,0,0,0,0,99998,AU,15
11002,59.99,9,0,0,0,0,0,99998,AU,10
11486,29.99,15,1,0,1,0,2,7.5,AU,495
11578,149.99,2,0,0,0,0,0,99998,AU,106
11607,39.99,23,2,3,1,0,6,3.83,AU,599
11694,49.99,0,0,0,0,0,0,0,AU,803
11634,44.99,8,1,1,1,0,3,2.67,AU,315
18025,14.99,4,0,0,0,0,0,99998,AU,
18038,14.99,1,0,0,0,0,0,99998,AU,
18026,14.99,6,0,0,1,0,1,6,AU,
18037,14.99,6,0,0,0,0,0,99998,AU,
18040,14.99,0,0,0,0,0,0,0,AU,
18033,39.99,5,0,0,0,0,0,99998,AU,
19998,9.99,19,2,4,3,6,15,1.53,AU,1115
11696,29.99,0,0,0,1,0,1,0,AU,131
11703,14.99,3,2,0,0,1,3,1,AU,1192
11687,14.99,11,0,0,0,0,0,99998,AU,608
11387,14.99,5,2,0,0,0,2,2.5,AU,2316
10442,14.99,10,1,3,1,0,5,2,AU,1417
11350,109.99,7,0,0,0,1,1,7,AU,287
11680,59.99,23,2,2,1,1,6,3.83,AU,50
11684,49.99,16,1,1,3,2,7,2.43,AU,455
11724,39.99,10,1,0,0,0,1,10,AU,900
11776,29.99,3,0,0,0,0,0,99998,AU,153
10905,59.99,0,0,0,0,0,0,0,AU,0
11369,49.99,0,0,0,0,0,0,0,AU,14
11729,49.99,6,0,2,1,0,3,2,AU,33
10789,34.99,5,0,0,0,0,0,99998,AU,676
11582,34.99,4,1,2,2,0,5,0.8,AU,1217
11700,89.99,6,0,0,0,0,0,99998,AU,770
11764,7.99,10,0,0,0,0,0,99998,AU,463
11689,59.99,15,2,4,1,0,7,2.43,AU,9
11832,14.99,14,0,0,0,0,0,99998,AU,726
11831,14.99,5,0,0,0,0,0,99998,AU,2622
11829,29.99,6,0,1,0,0,1,6,AU,709
11660,79.99,47,3,2,0,2,7,7.29,AU,51
10900,59.99,0,0,0,0,0,0,0,AU,128
11732,49.99,2,0,0,0,0,0,99998,AU,0
11052,14.99,0,0,0,0,0,0,0,AU,802
10891,11.99,0,0,0,0,0,0,0,AU,709
11804,89.99,0,0,2,0,0,2,0,AU,834
11798,74.99,3,1,0,0,0,1,3,AU,351
11543,89.99,3,0,0,0,0,0,99998,AU,304
11958,34.99,0,0,0,1,0,1,0,AU,138
11611,89.99,1,1,0,3,1,5,0.2,AU,441
11943,12.99,26,0,2,1,2,5,5.2,AU,675
11923,44.99,2,0,0,0,0,0,99998,AU,751
11924,49.99,12,0,0,1,0,1,12,AU,692
11904,49.99,10,0,1,1,0,2,5,AU,496
11797,8.99,9,1,0,1,0,2,4.5,AU,2364
11705,19.99,2,0,1,0,1,2,1,AU,23
11937,29.99,15,2,3,4,0,9,1.67,AU,15
11909,59.99,5,7,6,5,0,18,0.28,AU,14
11953,69.99,15,0,0,3,0,3,5,AU,185
11907,37.99,17,0,2,0,0,2,8.5,AU,602
11950,49.99,10,1,2,1,0,4,2.5,AU,64
11679,34.99,23,2,1,2,0,5,4.6,AU,396
11944,69.99,10,1,1,1,0,3,3.33,AU,424
11618,39.99,5,0,0,0,0,0,99998,AU,528
11902,59.99,10,0,0,0,0,0,99998,AU,649
18028,14.99,4,0,0,1,0,1,4,AU,
11994,19.99,12,0,3,3,2,8,1.5,AU,16
11541,119.99,5,0,0,0,0,0,99998,AU,208
11903,29.99,11,0,0,0,0,0,99998,AU,1342
12013,49.99,19,5,0,3,0,8,2.38,AU,872
12060,24.99,18,0,0,1,0,1,18,AU,740
11983,39.99,26,1,1,4,0,6,4.33,AU,481
11577,199.99,2,0,0,0,0,0,99998,AU,322
11918,99.99,1,0,0,0,0,0,99998,AU,95
11917,99.99,1,0,0,0,0,0,99998,AU,64
11912,79.99,0,0,0,0,0,0,0,AU,26
11911,79.99,1,0,0,0,0,0,99998,AU,86
11914,79.99,1,0,0,0,0,0,99998,AU,109
11915,79.99,0,0,0,0,0,0,0,AU,17
11916,79.99,1,0,0,0,0,0,99998,AU,30
