id,section,number,level,side,storage_unit_size_w,storage_unit_size_h,storage_unit_size_l,friend_group,purpose,comments,life_span,article_no,article_storage_id,oldest_date_in_unit,quantity_single,quantity_carton,default_article_no,over_size,single_quantity_threshold,single_quantity_max,size,date_shipment_in
0,A,1,l0,LU,0.4,0.8,1.2,NULL,Normal,None,NULL,10818,NULL,NULL,62,NULL,10818,NULL,72,90,Quarter,15/05/2021
1,A,1,l0,RU,0.4,0.8,1.2,NULL,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,10904,NULL,NULL,9,NULL,10904,NULL,56,70,Quarter,15/05/2021
2,A,1,l0,LD,0.4,0.8,1.2,0,Normal,None,NULL,12141,NULL,NULL,370,NULL,12141,NULL,256,320,Quarter,25/10/2022
3,A,1,l0,RD,0.4,0.8,1.2,NULL,Normal,None,NULL,10971,NULL,NULL,44,NULL,10971,NULL,64,80,Quarter,14/09/2021
4,A,2,l0,LU,0.4,0.8,1.2,NULL,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,11062,NULL,NULL,8,NULL,11062,NULL,72,90,Quarter,15/05/2021
5,A,2,l0,RU,0.4,0.8,1.2,0,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,11420,NULL,NULL,0,NULL,11420,NULL,56,70,Quarter,01/01/2000
6,A,2,l0,LD,0.4,0.8,1.2,NULL,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,11328,NULL,NULL,0,NULL,11328,NULL,48,60,Quarter,01/01/2000
7,A,2,l0,RD,0.4,0.8,1.2,0,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,11993,NULL,NULL,60,NULL,11993,NULL,40,50,Quarter,04/07/2022
8,A,3,l0,LU,0.4,0.8,1.2,NULL,Normal,None,NULL,11418,NULL,NULL,40,NULL,11418,NULL,64,80,Quarter,14/10/2021
9,A,3,l0,RU,0.4,0.8,1.2,NULL,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20verified qty of 11452 with qty 31",NULL,NULL,NULL,NULL,0,NULL,11452,NULL,40,50,Quarter,01/01/2000
10,A,3,l0,LD,0.4,0.8,1.2,NULL,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,11454,NULL,NULL,17,NULL,11454,NULL,32,40,Quarter,15/05/2021
11,A,3,l0,RD,0.4,0.8,1.2,0,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,-9999,NULL,NULL,0,NULL,-9999,NULL,48,60,Quarter,01/01/2000
12,A,4,l0,LU,0.4,0.8,1.2,0,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,12060,NULL,NULL,0,NULL,12060,NULL,512,640,Quarter,01/01/2000
13,A,4,l0,RU,0.4,0.8,1.2,0,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,12142,NULL,NULL,172,NULL,12142,NULL,256,320,Quarter,25/10/2022
14,A,4,l0,LD,0.4,0.8,1.2,NULL,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,11903,NULL,NULL,64,NULL,11903,NULL,96,120,Quarter,30/03/2022
15,A,4,l0,RD,0.4,0.8,1.2,NULL,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20verified qty of 11601 with qty 40",NULL,11501,NULL,NULL,40,NULL,11501,NULL,32,40,Quarter,25/10/2022
16,A,5,l0,LU,0.4,0.8,1.2,0,Normal,None,NULL,12177,NULL,NULL,224,NULL,12177,NULL,256,320,Quarter,25/10/2022
17,A,5,l0,RU,0.4,0.8,1.2,NULL,Normal,"nanCan not predict how much Qty fit in this storageunit, set to 20",NULL,11618,NULL,NULL,68,NULL,11618,NULL,96,120,Quarter,10/06/2022
18,A,5,l0,LD,0.4,0.8,1.2,NULL,Normal,None,NULL,11619,NULL,NULL,98,NULL,11619,NULL,96,120,Quarter,17/11/2021
