Posting_Date,Document_Number,ItemCode,Qty,qnt_box,carton_cbm,loading_status,storage_unit,WHS_Code
06/12/2022,2281858,10844,-5,80,0.09676,Awaiting_Confirmed,"303,",E-10-l0-None->Q[5];
06/12/2022,2281858,10914,-20,80,0.09676,Awaiting_Confirmed,"129,",B-5-l0-L->Q[20];
06/12/2022,2281858,11077,-20,10,0.047376,Awaiting_Confirmed,"314,",E-21-l0-None->Q[20];
06/12/2022,2281858,11168,-160,40,0.107453,Awaiting_Confirmed,"634,",E-21-l1-None->Q[160];
06/12/2022,2281858,11182,-20,20,0.0663,Awaiting_Confirmed,"142,",B-12-l0-R->Q[20];
06/12/2022,2281858,11402,-80,40,0.0195,Awaiting_Confirmed,"332,",F-11-l0-None->Q[80];
06/12/2022,2281858,11517,-120,40,0.045198,Awaiting_Confirmed,"347,",G-5-l0-None->Q[120];
06/12/2022,221001451,11168,-40,40,0.107453,Pending,,
06/12/2022,221001451,11181,-20,20,0.0663,Pending,,
06/12/2022,221001451,11252,-20,20,0.0685781,Pending,,
06/12/2022,221001451,11349,-6,6,0.086625,Pending,,
06/12/2022,221001451,11572,-40,40,0.0455731,Pending,,
06/12/2022,2281860,10442,-80,40,0.02688,Pending,,
06/12/2022,221001459,10917,-20,20,0.067941,Pending,,
06/12/2022,221001461,11002,-20,20,0.0455265,Pending,,
06/12/2022,221001461,11048,-20,10,0.03564,Pending,,
06/12/2022,2281860,11168,-120,40,0.107453,Pending,,
06/12/2022,2281866,11204,-10,10,0.0581196,Pending,,
06/12/2022,221001461,11252,-40,20,0.0685781,Pending,,
06/12/2022,2281866,11280,-10,10,0.0583511,Pending,,
06/12/2022,2281863,11350,-6,6,0.078045,Pending,,
06/12/2022,2281866,11351,-40,10,0.0331098,Pending,,
06/12/2022,2281866,11363,-30,6,0.033465,Pending,,
06/12/2022,2281860,11387,-40,40,0.027898,Pending,,
06/12/2022,2281860,11449,-40,20,0.079764,Pending,,
06/12/2022,2281866,11456,-40,10,0.052785,Pending,,
06/12/2022,2281866,11471,-80,20,0.05396,Pending,,
06/12/2022,2281863,11525,-18,6,0.0619319,Pending,,
06/12/2022,2281860,11529,-240,40,0.02784,Pending,,
06/12/2022,2281863,11541,-20,10,0.0418854,Pending,,
06/12/2022,2281860,11543,-20,20,0.0403771,Pending,,
06/12/2022,2281859,11575,-12,6,0.061332,Pending,,
06/12/2022,221001460,11577,-6,6,0.066555,Pending,,
06/12/2022,2281859,11590,-12,6,0.07809,Pending,,
06/12/2022,2281859,11596,-18,6,0.0679851,Pending,,
06/12/2022,2281860,11660,-50,10,0.084456,Pending,,
06/12/2022,2281860,11670,-20,20,0.036864,Pending,,
06/12/2022,221001461,11673,-400,20,0.06264,Pending,,
06/12/2022,2281863,11689,-20,10,0.0584669,Pending,,
06/12/2022,2281866,11700,-6,6,0.05096,Pending,,
06/12/2022,2281860,11729,-30,10,0.03008,Pending,,
06/12/2022,2281859,11751,-6,6,0.0791588,Pending,,
06/12/2022,221001450,11923,-20,20,0.0777991,Pending,,
06/12/2022,2281860,11944,-20,10,0.0254845,Pending,,
06/12/2022,2281860,11947,-40,20,0.037653,Pending,,
06/12/2022,2281860,11958,-20,20,0.0483552,Pending,,
06/12/2022,221001459,11967,-10,10,0.08165,Pending,,
06/12/2022,221001450,12177,-40,40,0.0195,Pending,,
06/12/2022,2281865,10790,-20,20,0.046008,Pending,,
06/12/2022,2281864,10887,-20,40,0.0525723,Pending,,
06/12/2022,221001465,10914,-40,80,0.09676,Pending,,
06/12/2022,2281864,10917,-20,20,0.067941,Pending,,
06/12/2022,2281864,11077,-20,10,0.047376,Pending,,
06/12/2022,2281865,11167,-40,40,0.0920745,Pending,,
06/12/2022,2281864,11387,-20,40,0.027898,Pending,,
06/12/2022,221001465,11517,-100,40,0.045198,Pending,,
