sku,article_no,selling_price,inventory_quantity,4_weeks_sales,status,factory,MOI,PO,ETA,market,DUS_quantity,total_cost,MOQ,inventory_value
DX-1000M-10891,10891,6.99,263,161.0,STD,TTX,1.52,720.0,2023-03-15,USA,703.0,1.3,1000.0,
DX-1000L-10887,10887,7.99,181,103.0,STD,TTX,1.54,,,USA,2229.0,1.61,1000.0,
DX-1000XXL-11077,11077,19.99,136,4.0,STD,TTX,34.0,,,USA,813.0,4.71,1000.0,
DX-2000XXL-11145,11145,17.99,14,6.0,STD,TTX,2.33,,,USA,60.0,4.73,1000.0,
PB-106US-11204,11204,39.99,72,4.0,STD,Chicony,18.0,,,USA,482.0,8.69,500.0,
PB-106USW-11280,11280,39.99,62,32.0,STD,Chicony,1.97,,,USA,159.0,8.69,500.0,
PB-407BUS-10789,10789,19.99,115,123.0,STD,Chicony,1.13,,,USA,676.0,6.6,500.0,
PB-407WUS-10793,10793,19.99,20,23.0,STD,CEZ,0.87,160.0,2023-02-10,USA,30.0,8.65,20.0,
PB-409HUS-10840,10840,24.99,212,57.0,STD,Togran,3.72,,,USA,43.0,7.5,1000.0,
PB-409PUS-11033,11033,24.99,78,60.0,STD,Togran,1.33,,,USA,219.0,4.61,1000.0,
PB-409UUS-10960,10960,19.99,48,130.0,STD,Togran,0.38,1000.0,2023-02-16,USA,10.0,4.61,1000.0,
PB-505HPUS-10970,11252,39.99,159,34.0,STD,Togran,4.68,260.0,2023-02-16,USA,8.0,11.65,1000.0,
PB-509HUS-11002,11002,49.99,22,2.0,STD,Donar,11.0,400.0,2023-02-16,USA,10.0,16.44,500.0,
PB-510HUS-11005,11005,49.99,65,16.0,STD,Donar,4.56,,,USA,389.0,13.77,1000.0,
PB-513US-10165,11417,59.99,54,3.0,STD,Donar,18.0,,,USA,434.0,12.97,500.0,
PB-515HPSUS-11049,11341,59.99,29,23.0,STD,Togran,1.26,,,USA,43.0,17.75,1000.0,
PB-517BUS-11364,11364,39.99,50,20.0,STD,JW,2.5,,,USA,478.0,11.3,500.0,
PB-706PSUS-10532,10532,39.99,47,11.0,STD,Togran,4.27,800.0,2023-02-16,USA,14.0,15.63,1000.0,
PD-303WUS-10699,10699,24.99,10,3.0,STD,CEZ,3.33,,,USA,30.0,11.01,20.0,
PD-307BUS-11369,11369,19.99,32,2.0,STD,CEZ,16.0,,,USA,10.0,9.46,20.0,
PD-707BPSUS-10900,10900,32.99,47,10.0,STD,CEZ,4.7,,,USA,128.0,13.64,20.0,
PD-707WPSUS-10905,10905,29.99,7,3.0,STD,CEZ,2.33,,,USA,0.0,15.05,20.0,
PD-712BUS-11267,11267,22.99,142,0.0,STD,SQT,99998.0,500.0,2023-02-16,USA,22.0,7.7,500.0,
PD-712WUS-11261,11261,21.99,0,53.0,STD,SQT,0.0,,,USA,9.0,7.92,500.0,
PM-201PB-10042,11387,7.99,215,214.0,STD,SQT,1.19,,,USA,2188.0,1.82,1000.0,
PM-508-10844,10844,14.99,168,36.0,STD,Togran,4.89,,,USA,3712.0,5.62,2000.0,
PM-513N-11168,11168,19.99,1015,787.0,STD,Togran,1.38,2000.0,2023-02-16,USA,845.0,4.11,2000.0,
PM-608-10914,10914,11.99,191,139.0,STD,Togran,1.42,,,USA,3645.0,6.72,2000.0,
PM-713N-11167,11167,19.99,1521,1394.0,STD,Togran,1.12,5000.0,2023-02-16,USA,1903.0,6.34,2000.0,
PM-718-11411,11411,16.99,39,36.0,EOL,Togran,1.11,,,USA,1246.0,7.61,2000.0,
PPD-202HB-11091,11091,14.99,69,62.0,STD,Donar,1.11,,,USA,1632.0,5.98,500.0,
PPD-202UB-11251,11251,11.99,184,77.0,STD,Donar,2.39,,,USA,101.0,4.03,500.0,
PPD-501U-10062,11284,19.99,0,138.0,STD,LT,0.0,895.0,2023-02-16,USA,8.0,6.71,1000.0,
PX-P2UA-19998,19998,7.99,280,338.0,STD,CLC,1.26,,,USA,289.0,1.69,2100.0,
PM-802B-11402,11402,9.99,872,612.0,STD,SQT,1.51,,,USA,2740.0,4.22,500.0,
PB-521US-11422,11422,49.99,48,19.0,STD,Donar,2.53,,,USA,129.0,11.55,500.0,
PB-313US-11445,11445,59.99,3,5.0,STD,Donar,0.6,,,USA,131.0,17.19,500.0,
PM-513L-11516,11516,19.99,154,85.0,STD,Togran,1.82,,,USA,666.0,4.05,2000.0,
PM-713L-11517,11517,24.99,206,156.0,STD,Togran,1.47,,,USA,440.0,6.34,2000.0,
PM-719-11522,11522,24.99,122,150.0,STD,Togran,1.31,,,USA,0.0,6.82,2000.0,
PB-512BUS-11525,11525,44.99,362,48.0,STD,Chicony,7.58,180.0,2023-02-07,USA,734.0,14.3,504.0,
PB-220HUS-11506,11506,29.99,55,60.0,STD,Togran,1.12,,,USA,397.0,8.42,1000.0,
PM-515II-11534,11534,19.99,0,16.0,STD,Togran,0.0,1760.0,2023-02-16,USA,0.0,5.53,2000.0,
PM-517D-11567,11567,29.99,159,160.0,STD,Togran,1.05,,,USA,354.0,10.91,2000.0,
PM-717D-11568,11568,24.99,397,374.0,STD,Togran,1.08,,,USA,1495.0,12.69,2000.0,
PPR-34-GLG-18028,18028,9.99,94,75.0,STD,Perixx DE,1.27,,,USA,389.0,3.17,50.0,
PPR-304-GLR-18033,18033,29.99,43,20.0,STD,Perixx DE,2.15,,,USA,79.0,9.03,16.0,
PB-522BUS-11578,11578,119.99,37,6.0,STD,Togran,6.17,,,USA,105.0,44.26,1000.0,
PB-322BUS-11577,11577,149.99,22,1.0,STD,Togran,22.0,,,USA,310.0,50.32,1000.0,
PB-323US-11352,11352,29.99,0,13.0,EOL,JW,0.0,,,USA,0.0,18.19,500.0,
PB-317US-11474,11566,24.99,577,129.0,STD,Palm max,5.56,20.0,2023-02-16,USA,199.0,6.88,1000.0,
PM-804B-11582,11582,19.99,160,142.0,STD,Togran,1.17,,,USA,943.0,9.53,2000.0,
PB-716IIIUS-11593,11593,24.99,41,16.0,STD,BOW,2.56,,,USA,607.0,10.78,500.0,
PPR-506-11571,11571,29.99,0,0.0,EOL,Togran,0.0,,,USA,0.0,14.98,1000.0,
PPD-303B-11605,11605,24.99,93,33.0,STD,Togran,2.85,,,USA,484.0,13.72,1000.0,
PB-325MWUS-11623,11623,39.99,0,2.0,EOL,JW,0.0,,,USA,0.0,23.84,500.0,
PM-719L-11635,11635,14.99,207,157.0,STD,Togran,1.3,,,USA,2691.0,6.75,2000.0,
PB-612WUS-11615,11615,69.99,129,28.0,STD,Chicony,4.61,,,USA,107.0,22.66,504.0,
PM-209PB-10442,10442,9.99,262,167.0,STD,Intech,1.54,,,USA,1333.0,2.34,3000.0,
PD-505BUS-11611,11611,49.99,174,109.0,STD,Togran,1.82,,,USA,417.0,17.62,1008.0,
PB-107PUS-11626,11626,29.99,118,92.0,STD,Chicony,1.25,,,USA,1072.0,6.89,500.0,
PM-802W-11538,11538,11.99,45,47.0,STD,SQT,1.06,,,USA,810.0,4.35,500.0,
MX-2000IIB-11095,11019,17.99,72,69.0,EOL,Togran,1.1,,,USA,1052.0,16.59,2000.0,
DX-1000XLB-11052,11052,8.99,334,27.0,STD,TTX,12.37,720.0,2023-03-15,USA,802.0,2.06,1000.0,
PD-605BUS-11633,11633,79.99,138,41.0,STD,Togran,3.39,,,USA,0.0,21.02,1008.0,
PPR-303GP-18026,18026,11.99,85,51.0,STD,Perixx DE,1.92,,,USA,326.0,3.17,50.0,
PD-406US-11648,11648,44.99,78,23.0,STD,Togran,3.39,,,USA,214.0,15.6,1000.0,
